timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576218053716,3502,HTTP Request,429,Too Many Requests,stress 4-20,text,false,,5598,659,100,102,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dubuntu%26channel%3Dfs%26q%3Dfunctional%2Btest&q=EgQBoS4vGMjbzO8FIhkA8aeDS1XNaTkocl-4B7oXZTbp2Qveg9bSMgFy,2504,0,2435
1576218053716,2504,HTTP Request-0,301,Moved Permanently,stress 4-20,text,true,,816,208,100,102,https://google.com/search?client=ubuntu&channel=fs&q=functional+test,2504,0,2435
1576218056254,945,HTTP Request-1,302,Found,stress 4-20,text,true,,1353,167,100,102,https://www.google.com/search?client=ubuntu&channel=fs&q=functional+test,945,0,528
1576218057200,18,HTTP Request-2,429,Too Many Requests,stress 4-20,text,false,,3429,284,100,102,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dubuntu%26channel%3Dfs%26q%3Dfunctional%2Btest&q=EgQBoS4vGMjbzO8FIhkA8aeDS1XNaTkocl-4B7oXZTbp2Qveg9bSMgFy,17,0,0
1576218054111,3116,HTTP Request,429,Too Many Requests,stress 4-69,text,false,,5598,659,100,102,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dubuntu%26channel%3Dfs%26q%3Dfunctional%2Btest&q=EgQBoS4vGMjbzO8FIhkA8aeDS1XNaTkocl-4B7oXZTbp2Qveg9bSMgFy,2084,0,2028
1576218054111,2084,HTTP Request-0,301,Moved Permanently,stress 4-69,text,true,,816,208,100,102,https://google.com/search?client=ubuntu&channel=fs&q=functional+test,2084,0,2028
1576218056243,959,HTTP Request-1,302,Found,stress 4-69,text,true,,1353,167,100,102,https://www.google.com/search?client=ubuntu&channel=fs&q=functional+test,959,0,504
1576218054352,2876,HTTP Request,429,Too Many Requests,stress 4-93,text,false,,5598,659,100,102,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dubuntu%26channel%3Dfs%26q%3Dfunctional%2Btest&q=EgQBoS4vGMjbzO8FIhkA8aeDS1XNaTkocl-4B7oXZTbp2Qveg9bSMgFy,1870,0,1704
1576218057203,24,HTTP Request-2,429,Too Many Requests,stress 4-69,text,false,,3429,284,100,102,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dubuntu%26channel%3Dfs%26q%3Dfunctional%2Btest&q=EgQBoS4vGMjbzO8FIhkA8aeDS1XNaTkocl-4B7oXZTbp2Qveg9bSMgFy,22,0,0
1576218054352,1870,HTTP Request-0,301,Moved Permanently,stress 4-93,text,true,,816,208,100,102,https://google.com/search?client=ubuntu&channel=fs&q=functional+test,1870,0,1704
